index,CSVname,well,time,Number of Spikes,Mean Firing Rate (Hz),Number of Active Electrodes,Weighted Mean Firing Rate (Hz),ISI Coefficient of Variation - Avg,Number of Bursts,Number of Bursting Electrodes,Burst Duration - Avg (s),Burst Duration - Std (s),Number of Spikes per Burst - Avg,Number of Spikes per Burst - Std,Mean ISI within Burst - Avg,Mean ISI within Burst - Std,Median ISI within Burst - Avg,Median ISI within Burst - Std,Inter-Burst Interval - Avg (s),Inter-Burst Interval - Std (s),Burst Frequency - Avg (Hz),Burst Frequency - Std (Hz),Normalized Duration IQR - Avg,Normalized Duration IQR - Std,IBI Coefficient of Variation - Avg,IBI Coefficient of Variation - Std,Burst Percentage - Avg,Burst Percentage - Std,Number of Network Bursts,Network Burst Frequency (Hz),Network Burst Duration - Avg (sec),Network Burst Duration - Std (sec),Number of Spikes per Network Burst - Avg,Number of Spikes per Network Burst - Std,Number of Elecs Participating in Burst - Avg,Number of Elecs Participating in Burst - Std,Number of Spikes per Network Burst per Channel - Avg,Number of Spikes per Network Burst per Channel - Std,Network Burst Percentage,Network ISI Coefficient of Variation,Area Under Normalized Cross-Correlation,Area Under Cross-Correlation,Width at Half Height of Normalized Cross-Correlation,Width at Half Height of Cross-Correlation,Synchrony Index,average_connection_strength,connection_density,average_transmission_speed,disease_status
1814,3,H3,150-250,1069,1.339599,6,1.786132,2.206083,66,4,0.215899,0.052774,9.233654,1.985955,0.027787,0.010912,0.018626,0.010695,5.853685,3.120889,0.165414,0.166247,0.904528,0.683563,0.762068,0.354788,39.830019,40.713086,9,0.090226,0.70616,0.12904,69.111111,11.910546,5.666667,0.5,12.248148,2.127669,58.18522,3.635049,0.088259,0.478697,21,86,0.255266,188.4,0.535714286,138.3803405,1
1815,2,H3,150-250,1654,2.072682,7,2.368779,2.367986,89,6,0.259088,0.189377,11.870893,8.005774,0.025547,0.010793,0.021297,0.013356,8.484263,5.845274,0.148705,0.059955,0.674235,0.364368,0.544468,0.088368,56.680385,29.186284,13,0.130326,0.718954,0.139914,84.230769,17.345287,6.153846,0.375534,13.732601,2.984388,66.203144,4.269707,0.202291,1.511278,1,21,0.351527,360,0.75,135.6435032,1
1816,2,H3,200-300,1681,2.127848,7,2.431826,2.440351,88,6,0.260539,0.207064,12.877146,9.590799,0.024116,0.008728,0.021064,0.009877,8.034741,4.806292,0.148523,0.052293,0.442451,0.265332,0.485819,0.147769,58.953773,31.07774,14,0.141772,0.73328,0.159682,90.571429,17.194428,6.357143,0.497245,14.255102,2.546608,75.431291,4.191595,0.208831,1.774322,2,68,0.4033,425.1428571,0.75,148.9855236,1
1817,3,H3,200-300,1101,1.393671,6,1.858228,2.24091,74,3,0.18561,0.061181,9.455498,1.117868,0.022029,0.009818,0.017476,0.009838,5.465891,2.903294,0.249789,0.195926,0.874821,0.18866,0.657579,0.381801,37.822644,41.980522,8,0.081013,0.74653,0.176736,71.75,14.119389,5.75,0.46291,12.470833,2.15255,52.134423,3.652893,0.10045,0.566365,23,82,0.282351,199.9333333,0.535714286,120.7416849,1
1818,3,H3,50-150,993,1.244361,6,1.659148,2.287215,49,4,0.235411,0.047606,9.942308,4.025798,0.030342,0.013746,0.023786,0.014261,8.35077,3.572852,0.122807,0.101041,1.344811,1.333031,0.679142,0.331262,38.786232,38.623329,8,0.080201,0.74476,0.219576,69.125,19.246057,5.625,0.517549,12.345833,3.336281,55.689829,3.292502,0.080863,0.4343,28,138,0.244066,162.9333333,0.535714286,149.8576758,1
1819,2,H3,50-150,1551,1.943609,7,2.221267,1.883725,80,5,0.242237,0.210855,10.729487,6.482757,0.024702,0.00665,0.019113,0.005666,6.966758,2.795093,0.160401,0.070888,0.432567,0.267291,0.51759,0.066784,42.574006,31.561062,12,0.120301,0.835447,0.178541,68.75,13.457847,6.166667,0.57735,11.156349,1.935531,53.191489,3.186596,0.168924,0.930541,1,2,0.271389,216,0.75,166.1102658,1
1820,1,H4,0-100,1296,1.62406,5,2.564411,2.424779,72,5,0.223882,0.073768,9.810916,2.545673,0.027669,0.00751,0.022833,0.007182,7.350316,1.724601,0.144361,0.040474,0.474992,0.219177,0.516743,0.129472,40.237564,36.713179,8,0.080201,0.63787,0.406572,67.375,17.344719,6,0.534522,11.169643,2.186088,41.589506,3.325966,0.223357,1.073756,7,79,0.338707,229.04,0.892857143,174.2510051,1
1821,1,H4,100-200,1380,1.729323,7,1.976369,1.934524,78,5,0.244345,0.094297,9.855805,2.134052,0.030172,0.009593,0.026788,0.011023,7.150601,2.714575,0.156391,0.068582,0.473305,0.212909,0.469578,0.103599,45.596997,34.583934,10,0.100251,0.576776,0.257181,64.9,10.35428,6.2,0.918937,10.598571,1.746606,47.028986,3.183574,0.228722,1.103473,10,86,0.421146,279.2857143,0.75,177.5814133,1
1822,1,H4,150-250,1501,1.880952,7,2.14966,2.120882,91,5,0.253958,0.081623,10.253826,2.169588,0.029827,0.007154,0.025703,0.008207,6.106123,2.098432,0.182456,0.067026,0.415657,0.139579,0.487054,0.145811,49.173948,36.333252,14,0.140351,0.737857,0.268015,68.714286,13.952825,6.214286,0.892582,11.181973,2.218901,64.090606,3.626613,0.226594,1.280702,7,82,0.445265,335.2857143,0.75,145.3853933,1
1823,1,H4,200-300,1447,1.831646,7,2.093309,2.18915,83,5,0.25548,0.067227,10.889744,3.203118,0.028913,0.005662,0.024711,0.007359,6.018599,1.586885,0.168101,0.048354,0.490331,0.217263,0.473031,0.183691,49.362635,36.460733,13,0.131646,0.768474,0.262546,75.846154,16.087501,6.384615,0.767948,11.942125,2.312739,68.140981,4.040001,0.260618,1.370344,4,56,0.47798,343.6190476,0.75,185.2944013,1
